Client,Street,City,State,ZIP
B01617,200 E. Belt Line Rd.   ,Desoto,TX,75115
B01618,8025 S. Main St.   ,Duncanville,TX,75137
B3612,"2211 Michelson Drive, Suite 620   ",Irvine,CA,92612
B02268,615 First Avenue NE Suite 500  ,Minneapolis,MN,55413-2455
SORG511,100 North Sixth Street Suite 218C  ,Minneapolis,MN,55403
B03906,120 North Beaver Street Suite 100  ,Flagstaff,AZ,86001
B06124,5605 Badura Avenue Suite 180  ,Las Vegas,NV,89119
B01280,3030 South Highland Drive   ,Las Vegas,NV,89109
B3835,"12121 Wilshire Blvd, 14th Floor   ",Brentwood,CA,90025
B01250,Branson Sports and Entertainment Complex 689 High Mountain Drive  ,Ridgedale,MO,65739
B02913,"Enterprise Leasing Company of Phoenix, LLC 1444 West Auto Drive  ",Tempe,AZ,85284
B01498,1350 Norris Road   ,Bakersfield,CA,93308
B01500,115 S Franklin Street   ,Toulon,IL,61483
B01504,101 W Washington   ,Monticello,IL,61856
B01508,101 S Main Street   ,Taylorville,IL,62568
B01509,501 Archer Ave   ,Marshall,IL,62441
B01516,300 West State Street   ,Jacksonville,IL,62650
B01518,215 S East Street   ,Carlinville,IL,62626
B01519,224 W Washington Street   ,Pittsfield,IL,62363
B01520,120 S Congress   ,Rushville,IL,62681
B01521,600 Main Street   ,Henderson,MN,56044-0433
B02913,Corporate Headquarters 600 Corporate Park Drive  ,St. Louis,MO,63105
B01523,600 Rice Street East   ,Wayzata,MN,55391-1734
B01524,339 Third Street   ,Excelsior,MN,55331-1809
B01525,500 Main Street   ,Carthage,IL,62321
B01526,4600 East 53rd Street   ,Davenport,IA,52808
B01527,121 North LaSalle Street   ,Chicago,IL,60602
B01529,Attn: Accounts Payable 4908 Tower Road  ,Denver,CO,80249
B01531,"391 N. Main Street, Suite 205   ",Corona,CA,92880
B01532,1403 W Green   ,Champaign,IL,61821
B01534,18 West Washington Avenue   ,Lovington,NM,88260-4023
B01536,325 N. Bergin Lane   ,Bloomfield,NM,87413
B01543,2075 Trinity Drive   ,Los Alamos,NM,87544
B01544,1315 Valley Drive   ,Hermosa Beach,CA,90254
B01545,"2034 Hamilton Place Boulevard, Suite 400   ",Chattanooga,TN,37421
B01546,350 Main Street   ,El Segundo,CA,90245
B01548,111 S.W. Oak St. Suite 200  ,Portland,OR,97204
B01496,1106-B W. Magnolia Blvd.   ,Burbank,CA,91506
B01497,102 S 7th Street   ,Petersburg,IL,62675
B01502,600 Grant Street   ,Pittsburgh,PA,15219
B01505,200 Ct. Street   ,Mount Sterling,IL,62353
B01510,651 Jackson Ave   ,Charleston,IL,61920
B01511,140 Courthouse Square   ,Toledo,IL,62468
B01522,PO Box 275   ,Stewartville,MN,55976-0275
B01528,1620 Huntington Dr.   ,Duarte,CA,91010
B01535,1118 W Aztec Blvd   ,Aztec,NM,87410
B01537,8787 W Alameda Ave   ,Lakewood,CO,80226
B01538,"8000 E Maplewood Ave, Suite 200   ",Greenwood Village,CO,80111
B01541,3333 Regis Boulevard   ,Denver,CO,80221
B01499,122 N Prairie Street   ,Lacon,IL,61540
B01501,800 Biermann Ct. Suite A  ,Mount Prospect,IL,60056
B01503,200 W State   ,Paxton,IL,60957
B01506,Main Street   ,Hardin,IL,62047
B01507,100 E Springfield Street   ,Virginia,IL,62691
B01512,201 W Washington Street   ,Clinton,IL,61727
B01513,100 N Main   ,Lewistown,IL,61542
B01514,201 W Pearl Street   ,Jerseyville,IL,62052
B01515,707 E Etna Road   ,Ottawa,IL,61350
B01517,6 N Vermillion Street   ,Danville,IL,61832
B01533,1106 W Quay Ave   ,Artesia,NM,88210-1826
B01539,831 Grand Ave   ,Glenwood Springs,CO,81602
B01540,1000 Rim Drive   ,Durango,CO,81301
B01547,One Colorado Old Pasadena 35 Hugus Alley Suite 210  ,Pasadena,CA,91103
B01549,   ,Yukon,OK,
B04713,200 West Erie Avenue   ,Loraine,OH,44052
B04714,345 High Street   ,Hamilton,OH,45011
B04715,Department of Public Works 2079 East 9th Street  ,Cleveland,OH,44115
B04716,175 South Main Street Room 200  ,Akron,OH,44308
B04718,17205 SW Vashon Highway   ,Vashon,WA,98070
B04722,460 Central Avenue N   ,Valley City,ND,58072
B04735,6040 28th Ave. South   ,Minneapolis,MN,55450-2799
B04759,15 Groveland Terrace   ,Minneapolis,MN,55403
B04766,"VIA EMAIL: tim@gfritzel.com 643 Massachusetts Street, Suite 300 PO Box 906 ",Lawrence,KS,66044
B04800,"2030 Timberbrooke Drive, Suite A   ",Springfield,IL,62702
B04864,"507 S Coltrane, Suite G   ",Edmond,OK,73034
SI448,333 W. Wacker Suite 200   ,Chicago,IL,60606
B04872,133 Penn St   ,El Segundo,CA,90245
B04875,12330 Cary Circle   ,Omaha,NE,68128
B04877,6244 Cedar Ave. S   ,Richfield,MN,55423
B04885,1600 NE Coronado Drive   ,Blue Springs,MO,64014
B04886,"12600 Northborough Drive, Suite 290   ",Houston,TX,77067
B04898,2299 Kuhio Avenue   ,Honolulu,HI,96815
B04717,403 W 1st Ave #7   ,Albany,OR,97321
B04734,5500 Cenex Drive   ,Inver Grove Heights,MN,55077
B03231,11719 Bee Cave Road Suite 301  ,Austin,TX,78738
B04753,3400 Plantation Drive Suite 110  ,Lincoln,NE,68516
B04768,3515 W. 75th ST. STE. 201   ,Prairie Village,KS,66208
B04769,"3105 Glenwood Avenue, Suite 100   ",Raleigh,NC,27612
B04909,315  Montgomery Street 9th Floor  ,San Francisco,CA,94104
B04534,Sent via Email:  daron@bbeomaha.com 7929 West Center Road  ,Omaha,NE,68124
B04942,3250 Brinkerhoff Road   ,Kansas City,KS,66115
B04975,500 Edwards Avenue   ,Bismarck,ND,58506
B04980,8910 S. Ridgeline Blvd.   ,Highlands Ranch,CO,80129
B04994,"102 8th Ave SW, Drawer H   ",Bowman,ND,58623
B05011,2040 Miller Drive   ,Longmont,CO,80501
B05017,605 6th Street PO Box 240  ,Park River,ND,58270
B05019,424 3rd Street   ,Thompson,ND,58278
B05193,4646 W. Sam Houston Pkwy North   ,Houston,TX,77041
B05193,PO Box 1212   ,Houston,TX,77251-1212
B05195,901 Rhode Place Suite 300  ,Houston,TX,77019
B05210,10866 Wilshire Blvd. Suite 400   ,Los Angeles,CA,90024
B05218,4100 Regent Street Suite G  ,Columbus,OH,43219
B05244,   ,Fairfax,VA,
B05276,505 South 4th Street   ,Renton,WA,98057
B05282,"6820 Indiana Avenue, Suite 210   ",Riverside,CA,92506-4261
B05284,"415 Mission St., 36th Floor   ",San Francisco,CA,94105
B05312,PO Box 266   ,Ottawa,KS,66067
B04820,"2585 Millennium Drive, Ste. E   ",Elgin,IL,60124
B05045,745 Fifth Avenue 30th Floor   ,New York,NY,10151
B05046,7930 Jones Branch Drive   ,Mclean,VA,22102
B05185,626 120th Ave NE Suite B201  ,Bellevue,WA,98005
B05189,"900 Bagby St, 1st Floor   ",Houston,TX,77002
B05246,102 N. Jonathan Blvd.   ,Chaska,MN,55318
B04633,"c/o DiNapoli Capital Partners 3021 Citrus Circle, Suite 130  ",Walnut Creek,CA,94598
B05308,305 108th Avenue NE   ,Bellevue,WA,98004
B05328,910 Avenue C P.O. Box 617  ,Katy,TX,77493
B05340,200 Elizabeth Street   ,Charleston,WV,25311
B05341,401 S. Queen Street   ,Martinsburg,WV,25401
B05369,52 Third Avenue   ,Brentwood,NY,11717
SORG135,918 U Street NW   ,Washington,DC,20001
B05382,105 Casey Rd   ,East Amherst,NY,14051
B05387,108 Education Drive   ,Schenectady,NY,12303
B05396,165 N Columbus Avenue   ,Mount Vernon,NY,10553
B05398,1 Academy Park   ,Albany,NY,12207
B05449,"1221 Second Avenue, Suite 500   ",Seattle,WA,98101
B05454,345 Lakeville Road   ,Great Neck,NY,11020
B05496,455 County Street   ,New Bedford,MA,02740
B05499,73 Mt. Wayte Avenue Suite 5  ,Framingham,MA,01702
B05511,1621 University Ave   ,San Angelo,TX,76904
B05524,7103 Stewart Road   ,Pleasant Valley,MO,64068
B05532,353 North Clark Street Suite 730  ,Chicago,IL,60654
B05534,146 Maple Street   ,Lexington,MA,02420
B05538,15396 N 83rd Ave Ste C-103   ,Peoria,AZ,85381
B05541,36 R Bartlet Street   ,Andover,MA,01810
B05545,34 Warwick Lake Avenue   ,Warwick,RI,02889
B08039,13110 Birch Dr Ste 120   ,Omaha,NE,68164-4160
B02756,3235 Mill Vista Road   ,Highlands Ranch,CO,80129
B02757,2000 Lowson Blvd   ,Delray Beach,FL,33445
B02761,375 Morris Road   ,West Point,PA,19486
B02771,19301 SW 87th Ave   ,Cutler Bay,FL,33157
B02780,235 towerview Drive   ,St. Augustine,FL,32092
B02781,7333 Scotland Way   ,Sarasota,FL,34238
B02783,4250 Village Dr.   ,Kissimmee,FL,34746
B02784,1333 Santa Barbara Blvd   ,Cape Coral,FL,33991
B02788,698 Monastery Road   ,Orange City,FL,32763
B02790,651 SW 6th St.   ,Pompano Beach,FL,33060
B02791,4100 E. Fletcher Ave   ,Tampa,FL,33613
B02792,3400 Masterpiece Way   ,Palm Beach Gardens,FL,33410
B02793,600 Lake Port Blvd.   ,Leesburg,FL,34748
B02796,1000 Westgate Drive Suite 100  ,St Paul,MN,55114
B02806,5100 S.W. 25th Blvd   ,Gainesville,FL,32608
B02807,677 Hebron Ave.   ,Keystone Heights,FL,32656
B02808,3495 Hoffman St.   ,Penney Farms,FL,32079
B02809,700 John Ringling Blvd   ,Sarasota,FL,34236
B3613,"11845 W. Olympic Blvd., Ste 850W   ",Los Angeles,CA,90064
B02811,1500 SW Capri   ,Palm City,FL,34990
B02812,15101 Shell Point Blvd   ,Fort Myers,FL,33908
B02813,23023 Westchester Blvd   ,Port Charlotte,FL,33980
B02814,6152 Verde Trial North   ,Boca Raton,FL,33433
B02821,920 S Tamiami Trail   ,Venice,FL,34285
B02826,1738 Wynkoop Street Suite 302  ,Denver,CO,80202
B02827,1533 Fourth Ave. West   ,Bradenton,FL,34205
B02833,7400 Crestway   ,San Antonio,TX,78239
B02835,4141 South Braeswood   ,Houston,TX,77025
B02838,8580 Woodway   ,Houston,TX,77063
B02841,1440 Lake Front Circle Suite 100  ,The Woodlands,TX,77380
B02844,8523 Thackery St   ,Dallas,TX,75225
B02847,"5345 Kietzke Lane, Suite 200   ",Reno,NV,89511
B02848,2101 Treasure Hille Blvd.   ,Harlingen,TX,78550
B11220,P.O. Box 1008   ,Sumner,WA,98390
B02767,19333 West County Club Drive   ,Aventura,FL,33180
B02794,5426 Bay Center Drive Suite 600  ,Tampa,FL,33609
B02829,25 State Road 13   ,Jacksonville,FL,32259
B02849,550 E. Ann Arbor   ,Dallas,TX,75216
B02852,1300 S. Border   ,Weslaco,TX,78596
B02853,1700 East Stone Street   ,Brenham,TX,77833
B02855,12501 Longhorn Parkway   ,Austin,TX,78732
B02857,617 W 7th Street Suite 500  ,Los Angeles,CA,90017
B02858,4600 Taft Blvd   ,Wichita Falls,TX,76308
B02862,9505 Northpointe Blvd.   ,Spring,TX,77379
B02866,"155 Cadillac Drive, Suite 100   ",Sacramento,CA,95825
B02867,2320 West 133th Place   ,Chicago,IL,60643
B02870,5919 Centerville Road   ,North Oaks,MN,55127
B02873,1690 University Ave. suite 400  ,St Paul,MN,55104
B02875,"1246 W. Campus Rd, Room 114 Carruth O'Leary Hall  ",Lawrence,KS,66045
B02876,291 North Main St. PO Box 31  ,Beaver,UT,84713
B02877,79 North 100 W   ,Bicknell,UT,84715
B02878,65 South Main   ,Coalville,UT,84017
B02880,200 North Main Street   ,Blanding,UT,84511
B02028,"5525 Lakeview Drive, Suite 200   ",Kirkland,WA,98033
B02881,1441 South Mosley   ,Wichita,KS,67216-0031
B02909,PO Box 200 650 Innovation Circle  ,Windsor,CO,80550
B02910,9585 NW 40th St.   ,Lincoln,NE,68524
B02911,1710 Briargate Blvd. Ste. 3500   ,Colorado Springs,CO,80920
B02914,22201 W. Innovation Dr.   ,Olathe,KS,66061
B06124,"15250 Ventura Blvd., Suite 100   ",Sherman Oaks,CA,91403
B02789,1001 N.W. Chipman Rd.   ,Lee's Summit,MO,64081
B02842,4100 Moores Lane   ,Texarkana,TX,75503
B02846,735 SW 158th Ave.   ,Beaverton,OR,97006
B02864,101 East Hawthorne Road   ,Spokane,WA,99218
B02865,2903 East 25th Ave   ,Spokane,WA,99223
B02875,1651 Naismith Drive Allen Fieldhouse  ,Lawrence,KS,66045
B02879,240 E Young Street PO Box 530  ,Morgan,UT,84050
B02913,Corporate Headquarters 600 Corporate Park Drive  ,St. Louis,MO,63105
B3684,600 Montgomery St. Ste. 100   ,San Francisco,CA,94111
B3685,1210 Stabler Lane   ,Yuba City,CA,95993
B3686,106 Melrich Rd.   ,Canbury,NJ,8512
B3689,1480 66th St.   ,Emeryville,CA,94608
B3690,5837 West Adams Boulevard   ,Culver City,CA,90232
B11222,1901 FM 423 Suite100  ,Frisco,TX,75033
B3692,"7300 Folsom Blvd, Suite 103   ",Sacramento,CA,95826
B3693,"170 Maiden Lane, 6th Floor   ",San Francisco,CA,94108
B3694,P.O. Box 7485   ,Citrus Heights,CA,95621
B3695,"2029 Century Park East, 14th Floor   ",Los Angeles,CA,90067
B3696,10125 Washington Blvd.   ,Culver City,CA,90232
B3697,707 Wilshire Suite 3750   ,Los Angeles,CA,90017
B3698,2216 The Alameda   ,Santa Clara,CA,95050
B3699,"801 South Grand Avenue, Suite 750   ",Los Angeles,CA,90017
B04752,"18401 Von Karman Avenue, Suite 110   ",Irvine,CA,92612
SI_182981,4900 Key Tower 127 Public Square  ,Cleveland,OH,44114
B3703,3577 North Figueroa Street   ,Los Angeles,CA,90065
B3704,PO Box 723   ,Joplin,MO,64802
B3705,2457 Butler Ave.   ,Los Angeles,CA,90064
B3706,"231 G Street, Suite 2   ",Davis,CA,95616
B3707,1512 Silica Avenue   ,Sacramento,CA,95815
B3708,1010 Lake Street - Suite 600   ,Oak Park,IL,60301
B3710,"2281 W. 190th Street, Suite 100   ",Torrance,CA,90504
B3711,199 South Civic Drive #10   ,Palm Springs,CA,92262-7215
B02795,2593 Lake Ave.   ,White Bear,MN,55110
B02815,6045 Verde Trial South   ,Boca Raton,FL,33433
B02822,601 Universe Blvd   ,Juno Beach,FL,33408
B02854,3901 Montecito Rd.   ,Denton,TX,76210
B02856,1302 Tom Temple Drive   ,Lufkin,TX,75904
B02931,600 University Street Suite 2500  ,Seattle,WA,98101
B11161,5900 S. Lake Forest Dr. Suite 400  ,McKinney,TX,75070
B11168,875 Avenue of the Americas. 12th Floor   ,New York,NY,10001
B3618,5345 Atlanta Highway   ,Montgomery,AL,36109
B3619,"10235 8th Street , Building 1   ",Rancho Cucamonga,CA,91730
B3620,287 S. Robertson Blvd. Ste. 398   ,Beverly Hills,CA,90211
B11169,"123 N. Washington St, 2nd Floor   ",Boston,MA,02114
B3485,First Private Bank & Trust 16000 Ventura Boulevard  ,Encino,CA,91436
B08368,9331 Corporate Drive   ,Selma,TX,78154
B3627,2325 Verna Court   ,San Leandro,CA,94577
B3628,8 Maplewood Dr.   ,Hazleton,PA,18202
B3629,"10850 Wilshire Boulevard, #380   ",Santa Monica,CA,90403
B3630,160 Pine Street   ,San Francisco,CA,94111
B08368,13800 West Road   ,Houston,TX,77041
B3634,8607 Venice Boulevard   ,Los Angeles,CA,90034
B3635,12248 Santa Monica Boulevard   ,Los Angeles,CA,90025-2518
B3636,3029 Wilshire Blvd. #202   ,Santa Monica,CA,90403
B3637,3235 N. San Fernando Road #2C   ,Los Angeles,CA,90065
B3638,"1530 J Street, #200   ",Sacramento,CA,95814
B3639,"26 Executive Park, Suite 100   ",Irvine,CA,92614
B3640,"16795 Von Karman, Suite 100   ",Irvine,CA,92606
B3641,"3199 ""C"" Airport Loop Drive   ",Costa Mesa,CA,92626-3414
B3642,5225 Canyon Crest Drive Bldg 71-218   ,Riverside,CA,92507
B3643,"9777Wilshire Boulevard, Suite 800   ",Beverly Hills,CA,90212
B3645,1813 Hano Rd.   ,Santa Fe,NM,87505
B3646,500 S. Figueroa   ,Los Angeles,CA,90071
B3647,"555 Capital Mall, Suite 700   ",Sacramento,CA,95814
B06607,2912 Anthony Lane Suite 100  ,Minneapolis,MN,55418
B06608,9298 Central Avenue NE Suite 312  ,Blaine,MN,55434
B06610,4710 E Baseline Rd   ,Mesa,AZ,85206
B06639,601 W. Leota   ,North Platte,NE,69101
B06646,12181 Bluff Creek Drive   ,Playa Vista,CA,
B06649,9440 W. 116th St.   ,Overland Park,KS,66210
B06649,165 Wambold Rd.   ,Harleysville,PA,19438
B06656,61 Broadway Ste. 3300   ,New York,NY,10006
B06657,9595 Six Pines Ste. 8210   ,The Woodlands,TX,77380
B06660,100 Pine Street Suite 3000   ,San Francisco,CA,94111
B06661,1933 Cliff Drive Suite 1   ,Santa Barbara,CA,93109
B06668,Headquarters 9079 S.E. McLoughlin Blvd.  ,Portland,OR,97222
B3839,8750 W Bryn Mawr Suite 700   ,Chicago,IL,60631
B06669,801 N. Brand Blvd. Suite 800   ,Glendale,CA,91203
B06670,51 West 52nd St   ,New York,NY,10019
B06687,9500 NE Cascades Parkwa   ,Portland,OR,97220
B06691,"3033 N. Central Ave, Suite 615   ",Phoenix,AZ,85012
B06706,501 College Drive   ,Charlottesville,VA,22902
B06715,3040 North 44th Street Suite 1   ,Phoenix,AZ,85018
B06716,2555 E Camelback Rd Suite 700   ,Phoenix,AZ,85016
B06717,2015 west Mountain view road   ,Phoenix,AZ,85021
B06721,1747 E Morten Ave #306   ,Phoenix,AZ,85020
B06724,1753 E Broadway Rd Suite 101-517   ,Tempe,AZ,85282
B06727,1700 West Washington Street   Executive Tower  Sui   ,Phoenix,AZ,85007
B06364,177 N. Church Avenue Suite 200  ,Tucson,AZ,85701
B06728,110 West Dale Avenue   ,flagstaff,AZ,86001
B3459,60 E. RioSalado Parkway Suite 1001  ,Tempe,AZ,85281
B02044,9101 East Lowry Boulevard   ,Denver,CO,80230-6011
B02063,"292 W. 12th Ave., Suite A   ",Eugene,OR,97401
B02088,510 Park Avenue   ,Minneapolis,MN,55487
B02089,14300 County Road 62   ,Minnetonka,MN,55345-6759
B02091,"410 South Michigan Ave, 4th Fl   ",Chicago,IL,60605
B02102,320 East Vermont Street   ,Indianapolis,IN,46204
B02117,"2310 Crossroads Drive, Suite 2000   ",Madison,WI,53718
B02117,11000 West Park Place   ,Milwaukee,WI,53224
B02118,740 Seventh Street N   ,La Crosse,WI,54601-3308
B02120,N22W23685 Ridgeview Parkway West   ,Waukesha,WI,53188
B02120,4200 N Port Washington Road   ,Glendale,WI,53212
B02164,9220 Jane Road North   ,Lake Elmo,MN,55042-9514
B02192,"701 East 3rd Street, Suite 400   ",Los Angeles,CA,90013
B02198,5936 VanDervoort Drive   ,Lincoln,NE,68516
B02203,780 N. 114th Street   ,Omaha,NE,68154
B02219,120 Vantis Suite 350  ,Aliso Viejo,CA,92656
B3648,7240 Chabot   ,Riverside,CA,92506
B02243,1201 Atlantic Avenue   ,Fernandina Beach,FL,32034
B02253,PO Box 40   ,Post Falls,ID,83877
B3649,1200 Getty Center Drive   ,Los Angeles,CA,90049
B02273,2168 Frankfort Road   ,Georgetown,KY,40324
B02274,5201 County Line Road Suite 100  ,Casco Township,MI,48064
B3650,3575 Long Beach Boulevard   ,Long Beach,CA,90807
B05957,1200 U Street NW   ,Washington,DC,2009
B07755,Juvenile Justice Center 100 Woodland Street  ,Nashville,TN,37213
B07763,9990 Richmond Ave.  South Building Suite 300  ,Houston,TX,77042
B07767,1210 South Bascom Ave.   ,San Jose,CA,95128
SORG150,2235 Shannon Place SE   ,Washington,DC,20020
B07783,100 N. 13th Suite 310  ,Norfolk,NE,68701
B07805,"8005 West 110th St, Suite 208   ",Overland Park,KS,66210
B07658,1801 S. Mopac Expressway Suite 310  ,Austin,TX,78746
B07813,8417 River Road   ,Sacramento,CA,95832
B07819,5301 East Grant Road   ,Tucson,AZ,85712
B07821,20770 Hilliard Blvd   ,Rocky River,OH,44166
B07822,3664 Grand Ave.   ,Miami,FL,33133
B07827,710 Garfield Street   ,Laramie,WY,82070
B07839,"1530 Broadway, 4th floor   ",New York,NY,10036
B07840,   ,Princess Anne,MD,21853
B07841,250 Hudson Streat #306   ,New York,NY,10013
B07842,Three Limited Parkway   ,Columbus,OH,43230
B07865,1717 St. James Place Suite 118  ,Houston,TX,77056
B3699,2500 Summer St. Suite 3114  ,Houston,TX,77007
B07877,4505 Montbel Place NE   ,Albuquerque,NM,87107
WRL2765,"Progressive Casualty Insurance Companies Rose M. Costanzo, AIA 5920 Landerbrook Dr., Box L31A403 ",Mayfield Hts,OH,44124
WRL2765,"Progressive Casualty Insurance Companies Attn: Rhonda Widmer 5920 Landerbrook Dr., L32A-175 ",Mayfield Hts,OH,44124
B07825,CityFi LLC Attn: Dan Rosen 745 Fifth Avenue 30th Floor,New York,NY,10151-2900
WRL2732,Joplin Museum Complex Attn: Brad Belk 504 South Shifferdecker Ave ,Joplin,MO,64801
WRL2755,"New Village Corporation Attn: Wayne Mortensen 1956 West 25th St., Suite 200 ",Cleveland,OH,44113
WRL2756,New York Institute of Technology NYIT-Simonson House 600  Northern Blvd. PO Box 8000,Old Westbury,NY,11568-8000
WRL2756,New York Institute of Technology Attn: Michael Lam NYIT - Northern Blvd. PO Box 8000,Old Westbury,NY,11568-8000
WRL2700,"Downtown Somerset Development Corporation Attn: Gib Gosser, Executive Director 209 East Mt. Vernon Street ",Somerset,KY,42501
WRL2764,"Prince Georges Community College Attn: Accounting, Lynn Greene Kent Hall, Room 100 301 Largo Road",Largo,MD,20774
WRL2777,Tarrytown Music Hall 13 Main Street P.O. Box 868 ,Tarrytown,NY,10591
WRL2706,Engine House No. 3   1325 Carnegie Avenue,Cleveland,OH,44115
B07769,"42270 Spectrum St,   ",Indio,CA,92203
B07794,2408 Linwood Avenue   ,Naples,FL,34112
B07809,553 Fairview Ave No   ,St.Paul,MN,
B07810,334 Euclid Avenue   ,Cleveland,OH,44114
B07820,805 Third Avenue   ,New York,NY,10022
B07843,550 South Tyron St. 30th Floor  ,Charlotte,NC,28202
B07844,1460 University Dr   ,Winchester,VA,22601
WRL347,7518 E Elbow Bend Road Suite A-5  ,Carefree,AZ,85337
B07853,535 E 5th St.   ,Austin,TX,78701
B07863,745 Atlantic Avenue   ,Boston,MA,02111
SORG481,"George Mason University Attn: Brian Marcus Associate Dean, CVPA 4400 University Drive",Fairfax,VA,22030
SORG481,GEORGE MASON UNIVERSITY Attn: Matt Johnson 4400 University Drive ,Fairfax,VA,22030
WRL2645,THE AVALON THEATRE FOUNDATION PO BOX 2243  ,GRAND JUNCTION,CO,81502
WRL2750,nArchitects Attn: Eric Bunge 68 Jay #317 ,New York,NY,11201
WRL2699,Downtown Goshen Inc. 234 South Main Street Suite 4 ,Goshen,IN,46528
B07810,Destination Cleveland Attn: Elise Yablonsky Destination Development Specialist 334 Euclid Avenue,Cleveland,OH,44114
B07810,Destination Cleveland Attn: Hannah Fritzman Belsito Director of Destination Development & Comm Affairs 334 Euclid Avenue,Cleveland,OH,44114
WRL2776,"Taiwan Land Development Company 14F-1, No. 51 Hengyang Rd  ",Taipei City 10045,,
WRL2652,Barrington Golf Club Attn: David Roberts 350 Aurora Road ,Aurora,OH,44202
WRL2675,City of San Clemente AttN: John Ciampa 910 Calle Negocio Suite 100,San Clemente,CA,92673
WRL2784,Virginia Tech University  Attn: Aaron Curfiss 90 Sterrett Complex,Blacksburg,VA,24061
WRL2784,Virginia Tech University C/O VT Renovations -John Taylor Sterrett Facilities Complex Suite 20 ,Blacksburg,VA,24061
WRL698,Cleveland Browns Attn: Michael Nikolaus Director of Administration 76 Lou Groza Blvd,Berea,OH,44107
WRL698,Cleveland Browns Football LLC Attn: Pam Smith 76 Lou Groza Blvd ,Berea,OH,44017
WRL2710,"FutureGen Industrial Alliance, Inc. Attn: Royden Reinhart Manager, Contracts & Procurement 73 Central Park Plaza E",Jacksonville,IL,62650
WRL2634,Akron Art Museum attn: Carol Murphy 70 East Market Street ,Akron,OH,44308
WRL2635,Akron-Summit County Public Library 55 South Main Street  ,Akron,OH,44326
WRL2648,"BALBOA THEATRE Attn: Gary Bosse, Sr. Project Manager 401 B Street Suite 400",San Diego,CA,92101
WRL2653,Beck Center Attn: Lucinda Einhouse President & CEO 17801 Detroit Avenue,Lakewood,OH,44107
WRL2658,Brittany Corporation 1771 Huntington Building 925 Euclid ,Cleveland,OH,44115
WRL2649,275 Eastland Road   ,Berea,OH,44017
WRL2662,Cleveland Tomorrow 1801 East Ninth Street #1020  ,Cleveland,OH,44114
B05259,15 9th Ave North   ,Hopkins,MN,55343
B05263,"City of Seattle Office of the Waterfront 800 5th Avenue, 31st Floor ",Seattle,WA,98104
B05273,1808 Bellevue Avenue Suite 202  ,Seattle,WA,98122
B05300,1191 2nd Avenue Suite 2000  ,Seattle,WA,98101
B05304,318 1st Avenue South #310  ,Seattle,WA,98104
B05306,1111 3rd Avenue #3030  ,Seattle,WA,98101
B05976,"900 Spruce Street, Suite 500   ",St. Louis,MO,63102
B05998,3249 Casitas Avenue Suite 214  ,Los Angeles,CA,90039
B05999,1717 Second Street   ,Sacramento,CA,95811
B06008,1401 South Jackson Street   ,Seattle,WA,98144
B06025,Fine Arts Building 811 West Seventh Street Suite 900 ,Los Angeles,CA,90017
B06042,8885 Research Drive   ,Irvine,CA,92618
B06043,3902 West Cresthaven Drive   ,Westlake Village,CA,91362
B06053,"1625 l Street NW, Suite 900   ",Washington,DC,20006
B06054,111 E. Wacker Drive Suite 2450  ,Chicago,IL,60601
B06072,444 South Flower Street Suite 1688  ,Los Angeles,CA,90071
B3474,2 Park Plaza Suite 1000  ,Irvine,CA,92614
B06114,936 North 24th Street   ,Omaha,NE,68102
B05467,"1100 N. Glebe Road, Suite 1000   ",Arlington,VA,22201
B06116,"1800 M St. NW, Suite 1050 South   ",Washington,DC,20036
B06134,c/o Mr. Barry Nidiffer 1550 Court Place  ,Denver,CO,80202
B07918,"Office of the County Executive John H. Mulroy Civic Center, 14th floor  ",Syracuse,NY,13202
B07945,601 E Main Street   ,Johnson City,TN,37601
B07946,4090 Lake Drive SE   ,Grand Rapids,MI,49546
B07947,"12000 Government Center Parkway, Suite 449   ",Fairfax,VA,22035
B07948,"1826 W. Broadway, Suite 32   ",Mesa,AZ,85202
B07951,2440 Hudson Aurora Road   ,Hudson,OH,44236
B07953,257 N. Broadway   ,Wichita,KS,67202
B07954,8929 S. Sepulveda Blvd #130  ,Los Angeles,CA,90045
B07957,1120 Monroe Ave. NW 3rd Floor  ,Grand Rapids,MI,49503
B08044,"4640 Admiralty Way, Suite 231   ",Marina Del Rey,CA,90292
B07960,903 Diamond Park   ,Meadville,PA,16335
B07961,410 N Center Street   ,Longview,TX,75601
B07963,4301 East Parham Road   ,Henrico,VA,23228
B07965,3125 South 11th Street   ,Council Bluffs,IA,51501
B07966,4735 North 19th Avenue   ,Phoenix,AZ,85015
B07967,"641 S Street, N.W Suite  ",Washington,DC,20001
B04054,"1226 9th Street NW, 3RD F   ",Washington,DC,20001
B07968,"1800 M Street, NW Suite 350 S  ",Washington,DC,20036
B07969,415 Tisdell Lane   ,Aubrey,TX,76227
SORG153,"Architectural Design Division SA-6, Room 315-C  ",Washington,DC,20522
B07970,"11802 Ridge Parkway, #400   ",Broomfield,CO,80021
B07973,25345 Taft Road   ,Novi,MI,48374
B06784,"4035 Ridge Top Road, Suite 500   ",Fairfax,VA,22030
B07977,"7910 Woodmont Avenue, Suite 660   ",Bethesda,MD,20814
B07978,"6856 Eastern Ave, NW Suite 314  ",Washington,DC,20012
B07979,"400 Madison Ave., Suite 14C   ",New York,NY,10017
B07983,"McCracken Power Plant, Suite 200 2003 Millikin Road  ",Columbus,OH,43210
