,Region,School Name,12.	What are your 5 most important concerns about the condition of the site and building(s) on your campus?  ,Top5,g.  Sensory Room,h.  Independent Learning Lab,i.  Autism Room,b.  Air conditioning,Quality Of Classrooms,Leverage Outdoor Space,Community Assembly,Overall,Perception of Environment heat,Toilet Facilities,Columns Need Repair,Air Conditioner,Paint,Leak,Roof,Ceiling,Fungus Mold,Electric,Plumbing,Fence,Gate,Pests
451,Ponce,LUIS LLORENS TORRES	51698,"Ceilings, painting, bathrooms",ceiling paint bathroom,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0
452,Caguas,SU PASTO	20214,"1. Work phase short columns.
2. Change of wooden doors of all the academic rooms since they are deterrioradas.
3. Change of the windows since the matoria are damaged since the passage of Hurricane Maria.
4. Painting in the living rooms from the ceilings, walls inside the living room and outside the living room. Our school since being a recipient authorized us to change the color of the school and it was never done. The painting of the entire squad was postponed and not carried out.
5. Lack of facilities: classrooms and offices for school staff: psychologist, nurse, administrative assistant and teachers of electives.",work phase short column change wooden door academic room since deterrioradas change window since matoria damage since passage hurricane maria paint living room ceiling wall inside living room outside living room school since recipient authorize u change color school never do painting entire squad postpone carry lack facility classrooms office school staff psychologist nurse administrative assistant teacher elective,,,,3.0,0.0,0.0,0.0,2.0,2.0,3.0,1,0,1,0,0,1,0,0,0,0,0,0
453,Arecibo,SU FRANCISCO SERRANO	11320,"Leaks 
All buildings leak.
Painting 
The school needs paint both inside and outside the school campus
Fungal removal
The walls and ceiling have fungus, it is important to remove it for the health of our students and staff.
Power lines 
Check the height of the power line. Additionally, on the roof of the student bathroom it is in contact near a cistern. 
Tree pruning 
Trees cover the power lines.
Arrange the entrance to the school campus and several stairs. 
",leak building leak paint school need paint inside outside school campus fungal removal wall ceiling fungus important remove health student staff power line check height power line additionally roof student bathroom contact near cistern tree pruning tree cover power line arrange entrance school campus several stair,,,,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,1,1,1,1,1,0,0,0,0,0
454,Ponce,ELVIRA M COLON	57703,"Cracks, roof leaks, windows.",crack roof leak window,,,,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0
455,Ponce,PEDRO MELENDEZ SANTIAGO	53058,"1. Defective student toilets (toilet, urinals, sinks)
2. Leaks
3. Bathrooms administrative area (toilet liqueando and problems to unload
4. Back fence has a while
5. Broken court roof
6. Parking needs asphalt
7. Corridor lights are melted. It has been possible to contact in extended hours. School turned off.",defective student toilet toilet urinal sink leak bathroom administrative area toilet liqueando problem unload fence broken court roof park need asphalt corridor light melt possible contact extend hour school turn,,,,1.0,,0.0,0.0,2.0,1.0,1.0,0,0,0,1,1,0,0,0,1,1,0,0
456,Ponce,DOMINGO MASSOL	50252,The school does not have enough classrooms to provide educational and therapy services. It does not have a warehouse for teaching materials and cleaning,school enough classroom provide educational therapy service warehouse teach material clean,,,,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
457,Caguas,JOSE PADIN	52894,"1. Serious problem of eating in almost all rooms and facilities.
2. Rooms with filtration problems in the ceiling.
3. Pipe problem constantly breaking.
4. The school campus requires painting on the inside and outside.
5. Lounges with damaged screen doors.
",serious problem eat almost room facility room filtration problem ceiling pipe problem constantly break school campus require paint inside outside lounge damage screen door,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0
458,Ponce,BELLAS ARTES DE PONCE	57638,The School has been abandoned and in disuse since December 2019. They have made about 9 inspections without informing the input and / or conclusions of the same. The damage caused by earthquakes to the structure is serious and significant.,school abandon disuse since december 0 make inspection without inform input conclusion damage cause earthquake structure serious significant,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
459,Ponce,JOSE EMILIO LUGO	50294,"We need them to complete the repair of the Theatre and install the air. 
The steel plates that were placed in the corners or buildings for the vibration of earthquakes, of the first company Class construction are filtering an enormous amount of water into the corridors.
 The solar panels, when installed, time passed and the holes of the screws allow water filtration through the roofs. 
Special Education room filtering through the ceiling.
 Many windows without knobs, which have been requested for years.
 Flooding in front of the office since when it rains the accumulation of water is excessive, it has been recommended and requested that a grill be made.
Water filtration in the Tinsmith and Paint Room.",need complete repair theatre install air steel plate place corner building vibration earthquake first company class construction filter enormous amount water corridor solar panel instal time pass hole screw allow water filtration roof special education room filter ceiling many window without knob request year flood front office since rain accumulation water excessive recommend request grill make water filtration tinsmith paint room,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0
460,Ponce,AUREA QUILES CLAUDIO	57620,"The biggest concern is the damage to infrastructure and the psoible demolition of the school. It was commented that this would be demolished, however the beginning of this action is expected. An exclusive school for high school students is urgently required as occupational offerings are limited.",big concern damage infrastructure psoible demolition school comment demolished however begin action expect exclusive school high school student urgently require occupational offering limit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
461,Caguas,BENITA GONZALEZ QUIÑONES	20685,"1. Hurricane Maria, knocked down three (3) trees in the inner courtyard of the school, causing unevenness. This area was covered with stones and asphalt (lousy work) which has now become a serious safety issue. The students use the stones as projectiles, we have had several injured by this situation.  We urgently need the area to be leveled and thrown in cement to avoid further misfortune. 
2. The school court, the only play area for students, is invaded by pigeons, discarding excrement on all sides. This in the same way affects the corridor in front of the second grade classrooms.  The situation has repercussions on the health of students and school staff who pre-existingly suffer from respiratory, allergic and/or skin conditions. We need meshes to be installed to prevent the passage of pigeons. 
3. In the school canteen, stairs and other areas of the campus there are very wide cracks, which have been enlarged.  We need a structural engineer to perform an inspection to check if the structure is safe.  
4. The bathrooms in the theater, are filtered and water falls into room #2 on the first floor. The other bathrooms on the campus need to be painted, the walls are horrible. 
Continuation: 
5. The Theater, court bathrooms and several halls have serious leaks and need urgent roof sealing. 
6.On the roof of the court is growing a tree that is damaging the drains and AEP does not have the required equipment to go up an employee to cut it. 
7.The bars in front of the campus are broken because mold has corroded them. In addition, the root of a tree is raising the same. I'm worried that a student or pedestrian will break off and hit the sidewalk, which could involve legal action.
8.Parking spots are out of service since Hurricane Maria. Our school offers extended hours service until 6:15pm and the departure time is dangerous because of the darkness
9. The drain pipes that go from the roof to the first level are broken or detached from the column.  Water seeps through the walls and floods the theater and hallways. This has caused the wall to be filled with silt. 
10. The school needs to be painted, the walls are serious.
",hurricane maria knock three tree inner courtyard school cause unevenness area cover stone asphalt lousy work become serious safety issue student use stone projectile several injured situation urgently need area level thrown cement avoid misfortune school court play area student invade pigeon discard excrement side affect corridor front second grade classroom situation repercussion health student school staff pre existingly suffer respiratory allergic skin condition need mesh instal prevent passage pigeon school canteen stair area campus wide crack enlarge need structural engineer perform inspection check structure safe bathroom theater filter water fall room first floor bathroom campus need paint wall horrible continuation theater court bathrooms several hall serious leak need urgent roof seal roof court grow tree damaging drain aep require equipment employee cut bar front campus broken mold corrode addition root tree raise worried student pedestrian break hit sidewalk involve legal action park spot service since hurricane maria school offer extend hour service pm departure time dangerous darkness drain pipe roof first level break detached column water seeps wall flood theater hallway cause wall fill silt 0 school need paint wall serious,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,1,1,1,0,1,0,0,0,0,1
462,Caguas,FEDERICO DEGETAU II	27599,We have a staircase closed by crack.,staircase close crack,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
463,Caguas,MYRNA M FUENTES	23135,"1. Hurricane Maria, knocked down three (3) trees in the inner courtyard of the school, causing unevenness. This area was covered with stones and asphalt (lousy work) which has now become a serious safety issue. The students use the stones as projectiles, we have had several injured by this situation.  We urgently need the area to be leveled and thrown in cement to avoid further misfortune. 
2. The school court, the only play area for students, is invaded by pigeons, discarding excrement on all sides. This in the same way affects the corridor in front of the second grade classrooms.  The situation has repercussions on the health of students and school staff who pre-existingly suffer from respiratory, allergic and/or skin conditions. We need meshes to be installed to prevent the passage of pigeons. 
3. In the school canteen, stairs and other areas of the campus there are very wide cracks, which have been enlarged.  We need a structural engineer to perform an inspection to check if the structure is safe.  
4. The bathrooms in the theater, are filtered and water falls into room #2 on the first floor. The other bathrooms on the campus need to be painted, the walls are horrible. 
Continuation: 
5. The Theater, court bathrooms and several halls have serious leaks and need urgent roof sealing. 
6.On the roof of the court is growing a tree that is damaging the drains and AEP does not have the required equipment to go up an employee to cut it. 
7.The bars in front of the campus are broken because mold has corroded them. In addition, the root of a tree is raising the same. I'm worried that a student or pedestrian will break off and hit the sidewalk, which could involve legal action.
8.Parking spots are out of service since Hurricane Maria. Our school offers extended hours service until 6:15pm and the departure time is dangerous because of the darkness
9. The drain pipes that go from the roof to the first level are broken or detached from the column.  Water seeps through the walls and floods the theater and hallways. This has caused the wall to be filled with silt. 
10. The school needs to be painted, the walls are serious.",hurricane maria knock three tree inner courtyard school cause unevenness area cover stone asphalt lousy work become serious safety issue student use stone projectile several injured situation urgently need area level thrown cement avoid misfortune school court play area student invade pigeon discard excrement side affect corridor front second grade classroom situation repercussion health student school staff pre existingly suffer respiratory allergic skin condition need mesh instal prevent passage pigeon school canteen stair area campus wide crack enlarge need structural engineer perform inspection check structure safe bathroom theater filter water fall room first floor bathroom campus need paint wall horrible continuation theater court bathrooms several hall serious leak need urgent roof seal roof court grow tree damaging drain aep require equipment employee cut bar front campus broken mold corrode addition root tree raise worried student pedestrian break hit sidewalk involve legal action park spot service since hurricane maria school offer extend hour service pm departure time dangerous darkness drain pipe roof first level break detached column water seeps wall flood theater hallway cause wall fill silt 0 school need paint wall serious,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0,0,1,1,1,0,1,0,0,0,0,1
464,Ponce,EUGENIO LE COMPTE BENITEZ	56440,1. Unfinished improvements - the school delivered it on November 30 and are awaiting change of service order,unfinished improvement school deliver november 0 await change service order,0.0,3.0,,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
465,Mayagüez,SU CARMEN VIGNALS ROSARIO	41004,"We are located in the Convention Center in Cabo Rojo, we do not know what will happen with the school.",locate convention center cabo rojo happen school,,,,1.0,,,,2.0,,,0,0,0,0,0,0,0,0,0,0,0,0
466,Ponce,JULIO COLLAZO SILVA	52704,"The school has extensive significant damage to its entire physical floor, but the dining room and upstairs classrooms were the hardest hit.",school extensive significant damage entire physical floor dining room upstairs classroom hardest hit,0.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
467,Mayagüez,CENTRO DE ADIESTRAMIENTO Y BELLAS ARTES	47589,1. THE ELECTRICAL SYSTEM 2. CEILINGS OF LIVING ROOMS 3. ROOMS CLOSED DUE TO CEILING FAILURES 4. LEAKS 5. CRACKS IN THE SECOND FLOOR FLOOR,electrical system ceiling live room room close due ceiling failure leak crack second floor floor,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,0,0,1,0,1,0,1,0,0,0,0
468,Ponce,ANTONIO TULLA TORRES	13342,"1. Deterioration of roofs (cracked).
2. Leaks
3. Lack of paint inside the structure.
4. Unusable equipment stored in several rooms.
5. Rooms with holes, which causes the entry of rodents.",deterioration roof crack leaks lack paint inside structure unusable equipment store several room room hole cause entry rodent,0.0,,,2.0,1.0,3.0,3.0,2.0,1.0,2.0,0,0,1,1,1,0,0,0,0,0,0,1
469,Mayagüez,JULIO V GUZMAN	43224,"1. They are repairing the short columns and we are virtual. 
2. We still have damage from Hurricane Maria that has not been repaired.",repair short column virtual damage hurricane maria repair,1.0,3.0,,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0
470,Ponce,MIGUEL A SASTRE OLIVER	51375,"My school is shelter currently there are 4cisternas and they do not work, I need a module or wagon to store materials and two rooms one for Special Education and another for my children to receive their therapies.",school shelter currently cisternas work need module wagon store material two room special education another child receive therapy,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
471,Ponce,ERNESTO RAMOS ANTONINI	54288,"1. Short column repairs
2. Fogging of areas affected by tremors 
3. Secure doors and windows disjointed by tremors
4. Check and change gas tank as it has been unused for a long time for safety 
5. Add Sub electric station for electric generator and reinforce the current potential in electric load",short column repair fog area affect tremor secure door window disjoint tremor check change gas tank unused long time safety add sub electric station electric generator reinforce current potential electric load,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0
472,Mayagüez,MANUEL MENDEZ LICIAGA	47902,"The court is destroyed, gets wet when it rains
Bathrooms in poor condition
The sewage plumbing behind the workshop buildings",court destroy get wet rain bathroom poor condition sewage plumb behind workshop building,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0
473,Mayagüez,SEBASTIAN PABON ALVES (COROZO)	44511,"1. arrange the entrance of the school.
2. Prepare an area for garbage collection.
3 Leaks in the ceilings of living rooms.
4. change all the windows of the Library since they do not close and have changed the hands the problem continues and when it rains it gets wet.
5.Fix the ceiling of the office you change the acoustics because it gets wet when it rains.",arrange entrance school prepare area garbage collection leak ceiling live room change windows library since close change hand problem continue rain get wet fix ceiling office change acoustic get wet rain,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0,0,0,1,0,1,0,0,0,0,0,0
474,Mayagüez,LOLA RODRIGUEZ DE TIO	43315,Short columns,short column,,2.0,,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0
475,Mayagüez,LUIS MUÑOZ RIVERA	42242,"In our school it is imperative that roofs be built to the area of the ramps that give access to the academic rooms, library and school canteen because when it rains the access is obstructed because in the same way the students and the school staff get wet. The school's cistern has never been in operation as has its electric generator. Equally, the school has never been named. All these issues were in the template of works to be carried out last summer.
",school imperative roof build area ramp give access academic room library school canteen rain access obstructed student school staff wet school cistern never operation electric generator equally school never name issue template work carry last summer,,,,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0
476,Mayagüez,PROFESORA JUANA ROSARIO CARRERO	47951,"Although the roofs of the buildings were sealed, there are still rooms that were not corrected.  The type of windows that Science laboratories have (which are dangerous because of the way they open and the space that the window has when opening we can say that a person fits which becomes a risk for students), however ventilation is important.  The school does not have a warehouse to store equipment and materials even though it is a relatively large school. We have requested on other occasions to build one or two warehouses since we have land and spaces to build them.  On the other hand, our school has always been growing, so we need other classrooms to be able to expand our offerings. The number of school employees has increased significantly so we requested to be able to pave an area that is commonly used as a parking lot (green area).  There had been discussion about this matter to pave this area so that we have additional parking for the whole person. The lighting around the school needs to be improved as the back of the school lacks lighting.",although roofs building seal room correct type windows science laboratory dangerous open space window open person fit become risk student however ventilation important school warehouse store equipment material though relatively large school request occasion build two warehouse since land space build hand school always grow need classroom able expand offering number school employee increase significantly request able pave area commonly use park green area discussion matter pave area additional parking whole person light around school need improved school lack light,0.0,,,1.0,1.0,4.0,3.0,4.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0
477,Mayagüez,AURORA MENDEZ CHARNECO	48025,"1. Fascias totally destroyed since Hurricane Maria and unrepaired as well as the air conditioners of several living rooms, dining room and library. The entire school is designed to be used with air conditioner.
2. Little or no lighting in many areas of the school - Many of the lamps and/or spotlights have been damaged due to water leaks, with Hurricane Maria and there are others that are melted but the AEP does not replace them.
3. Surface of the inner courtyard is inadequate for the type of population we serve. It is a porous surface (compacted gravel) with poor drainage that causes water to become cloudy and creates layers of black fungus. This makes it an extremely slippery surface and has caused many falls among students and school staff. Poor drainage also causes water to get into the basement.
4. It has been about 5 years since the school or the gates were painted.
5. Various problems in the physical plant such as the separation of the wall of the court from the floor by erosion of land in the back, damage caused to the roof of the court by Hurricane Maria that have not been repaired, constant leaks of water by the roofs of almost the entire school, cracks caused by telluric movements,  roof of the entrance of the school with damage since Hurricane Maria, unsquared entrance gates (give problems to open and close), among others.
",fascia totally destroy since hurricane maria unrepaired air conditioner several living room din room library entire school design use air conditioner little light many area school many lamp spotlight damage due water leak hurricane maria others melt aep replace surface inner courtyard inadequate type population serve porous surface compact gravel poor drainage cause water become cloudy create layer black fungus make extremely slippery surface cause many fall among student school staff poor drainage cause water basement year since school gate paint various problem physical plant separation wall court floor erosion land damage cause roof court hurricane maria repair constant leak water roof almost entire school crack cause telluric movement roof entrance school damage since hurricane maria unsquared entrance gate give problem open close among others,0.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0,1,1,1,1,0,1,0,0,0,1,0
478,Mayagüez,SEGUNDO RUIZ BELVIS	41061,"1. Very slow short column repair process, they take three days and what they have done is read plans.
2. The Internet is slow in some lounges outside the main floor.
3. Serious leaks on the school court and the plank floor. In addition, the roof straps are covered.
4. The comejen has not ceased despite the fact that underground fumigation was carried out in 2021.
5. Add offices for use by Psychologists and Therapies.",slow short column repair process take three day do read plan internet slow lounge outside main floor serious leak school court plank floor addition roof strap cover comejen cease despite fact underground fumigation carry 0 add office use psychologist therapy,0.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,1,0,0,1,1,0,0,0,0,0,0,1
479,Mayagüez,LA CARMEN	45641,"1. Leaks in ceilings of dining room warehouse, administrative office and bathrooms
2. Collected water (rain) at the back of the school, they have undermined the fence and wall.
3. Deterioration of bars on the top floor of the main building.
4. Deterioration of the asphalt of the parking lot and identification of the areas.
5. Deterioration of gates and gates in different areas of the school.",leak ceiling din room warehouse administrative office bathroom collect water rain school undermine fence wall deterioration bar top floor main building deterioration asphalt park identification area deterioration gate gate different area school,,,,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0,0,0,1,0,1,0,0,0,1,1,0
480,Mayagüez,SEVERO E COLBERG RAMIREZ	47357,"The school campus is necessary to fix leaks in the ceilings, the fallen gates, it needs paint on all campuses since since Hurricane Maria it is not painted.",school campus necessary fix leak ceiling fall gate need paint campus since since hurricane maria paint,,,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,1,1,0,1,0,0,0,0,1,0
481,Mayagüez,SU JOSE A VARGAS	15453,1. ,,,,,1.0,2.0,2.0,2.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
482,Ponce,CARMEN BELEN VEIGA	56119,"Leaks from the roof, the ramp pra access to the court, wooden panels and doors damaged by comején.",leak roof ramp pra access court wooden panel door damage comején,,,,3.0,3.0,1.0,2.0,2.0,2.0,3.0,0,0,0,1,1,0,0,0,0,0,0,0
483,Mayagüez,ESTER FELICIANO MENDOZA	46664,Office air conditioner therapist and mushrooms. Room 104 air conditioner and rat problems in air ducts. Operator of 100% of the windows are defective. Problems with the telephone box. Maintenance to the cistern and pumping system.,office air conditioner therapist mushroom room 0 air conditioner rat problem air duct operator 00 window defective problem telephone box maintenance cistern pumping system,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0
484,Mayagüez,MARCELINO RODRIGUEZ	46334,"1. Ramps of disabled people who do not comply with the law.
2. Rooms that give electric current.  Safety of students and teachers.
3. Water problems. Cisterns.
4. Useless and insufficient lighting.  Darkness.
5. Useless bathrooms, pens and toilets, water installation is needed on the third and first floor.",ramp disable people comply law room give electric current safety student teacher water problem cisterns useless insufficient light darkness useless bathroom pen toilet water installation need third first floor,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0
485,Mayagüez,LUIS MUÑOZ MARIN	46995,"Need to build classrooms for Full-Time Special Education with Independent Living Skills. Build Building to expand occupational offerings allied to health as an emerging need due to the pandemic and Third World trends, school court arrangement and construction of physical education classrooms and bathrooms near the court, Construction of gazebos to keep students inside the school in safe and attractive areas, painting inside and outside school facilities. Construction of a ramp or a sidewalk that connects the court to the full-time special dedication classrooms since we have a student in wheelchairs and access is complicated.",need build classroom full time special education independent living skill build building expand occupational offering ally health emerge need due pandemic third world trend school court arrangement construction physical education classroom bathrooms near court construction gazebo keep student inside school safe attractive area paint inside outside school facility construction ramp sidewalk connects court full time special dedication classroom since student wheelchair access complicate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0
486,Mayagüez,AQUILINO CABAN	40147,"The school has more than 50 short columns
Needs Paint
Has problems with outdoor lamps, office and bathrooms
Fitrations in room 2nd grade Mrs. Torres
Installation of Cisterns (the school has 3 uninvited)
",school 0 short column need paint problem outdoor lamps office bathroom fitrations room nd grade mrs torres installation cisterns school uninvited,,,,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0
487,Mayagüez,MANUEL GARCIA PEREZ (NUEVA)	47662,"1. School bathroom doors.
2. Lighting of parking bulbs and inside the campus.
Ceiling sealing of culinary arts and pastry salons.
3.need for maintenance of office air and replacement of air.
4.roof for ramp.
5.Security guard booth light.",school bathroom door light park bulbs inside campus ceiling seal culinary art pastry salon need maintenance office air replacement air roof ramp security guard booth light,0.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0
488,Mayagüez,CARMEN CASASUS MARTI	47613,1. Lack of electric generator there are plates only for nine rooms of 32 existing rooms. 2. Cinterna 3. paving of faculty and parents parking.,lack electric generator plat nine room exist room cinterna pave faculty parent park,,,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0
489,Ponce,DR MAXIMO DONOSO SANCHEZ	57877,"1. Excessive leaks
2. Lighting
3. Short columns (about to start)
4. Reconstruction employees use the school as a hotel.
5. Theft of material and equipment by people from the Reconstruction company 
6. 24/7 safety at school while rebuilding work is done 
8. Lack of wagons to impact therapies for special education students 
9. Painting of the school campus
10. Voltage increase in substations 
11. Water Cistern is required
12. Power plant needed 
13. Indoor court tensioners are not available and promises are made and nothing.
14. Ventilation in the court bug roof
15. Mesh problems to prevent pigeons from entering the court.
16. Fix gates that protect school campus.
17. Eating problems on school campus",excessive leak light short column start reconstruction employee use school hotel theft material equipment people reconstruction company safety school rebuild work do lack wagon impact therapies special education student paint school campus 0 voltage increase substation water cistern require power plant need indoor court tensioners available promise make nothing ventilation court bug roof mesh problem prevent pigeon enter court fix gate protect school campus eat problem school campus,0.0,,,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1,0,1,1,1,0,0,0,0,0,1,1
490,Mayagüez,MANUEL A BARRETO	42267,"The school needs to be painted in its entirety inside and out. Seal roof, enable theater, Cleaning basements with equipment to seize from other schools that closed, stairs need handrails,",school need paint entirety inside seal roof enable theater clean basement equipment seize school close stair need handrail,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0
491,Mayagüez,JAMES GARFIELD	40915,"The campus presents filtration problems in classrooms
Comejen in salons 
School Canteen filtration problems",campus present filtration problem classrooms comejen salon school canteen filtration problem,0.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1
492,Ponce,RAFAEL IRIZARRY RIVERA	51870,"The concerns are as follows: stability of the soil since it was previously giving way and we consider that it remains the same, floors of upper levels through which water percolates, columns affected during earthquakes, arrangements in stairs and arrangements in ramps.",concern follow stability soil since previously give consider remain floor upper level water percolate columns affected earthquake arrangement stairs arrangement ramp,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
493,Mayagüez,CENTRO VOCACIONAL ESPECIAL	45310,"rooms that leak, humidity and need repair 
the school canteen that leaks 
the school court the roof 
the problem of pigeons on the court 
very tall trees and cover the drains of the halls
arboles muy altos y tapan los desagues de los salones ",room leak humidity need repair school canteen leaks school court roof problem pigeon court tall tree cover drain hall arboles muy alto tapan los desagues de los salones,0.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,0,0,0,1,1,0,0,0,0,0,0,1
494,Mayagüez,ANA M. JAVARIZ	40493,"1) Continuous maintenance to old buildings that were built in the 60s.
2) The low electrical power capacity is not enough to meet the needs of the school.
3) Repair of the lights and roof (water filtration and entrance of pigeons) of the indoor court.
4) Arrangements and sealing of ceilings of the halls and offices.
5) Fence arrangements around the school.",continuous maintenance old building build 0 low electrical power capacity enough meet need school repair light roof water filtration entrance pigeon indoor court arrangement seal ceiling hall office fence arrangement around school,2.0,,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,0,0,0,0,1,1,0,1,0,1,0,1
495,Mayagüez,ERNESTINA MENDEZ	46805,"1. painting, it has not been painted for more than five years
2. Broken, sprouted dining slabs 
3. Repair of stairs in the back, student entrance.
4.replace toilets and sinks.
5. Split office space",paint paint five year broken sprout din slabs repair stairs student entrance replace toilet sink split office space,0.0,,,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0
496,Mayagüez,ESTEBAN ROSADO BAEZ	47084,blank,blank,,,,1.0,2.0,2.0,,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
497,Mayagüez,ANSELMO VILLARRUBIA	40139,"ROOF LEAKS, ROOF DETACHMENT, LACK OF SCREENS, IMPROVEMENTS IN THE MAIN GATE,",roof leak roof detachment lack screen improvement main gate,,,,1.0,4.0,2.0,2.0,2.0,2.0,2.0,0,0,0,1,1,0,0,0,0,0,1,0
498,Ponce,FRANCISCO RAMOS SANCHEZ	13151,"COURT- THE SIDES ARE DETERIORATED CREATING DANGER FOR STUDENTS
PAINT- DETERIORATED BOTH INSIDE AND OUT
OFFICES-DIVIDERS DANADOS AND MOTH
INTERIOR COURTYARD-UNEVEN AND QUARTIATED
PARKING- POOR CONDITION AND DETERIORATED GATES",court side deteriorate create danger student paint deteriorate inside office divider danados moth interior courtyard uneven quartiated park poor condition deteriorate gate,0.0,0.0,,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,1
499,Mayagüez,SU JUAN B SOTO	40030,1) Exposed rods: several rooms have exposed rod on their ceilings; 2) Paint - is deteriorated and peeling off; 3) Fence: it is broken or fallen in several areas around the school;,expose rod several room expose rod ceiling paint deteriorate peel fence break fall several area around school,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,1,0,0,1,0,0,0,1,0,0
500,Ponce,JUAN SERAPIO MANGUAL	55731,"1. School Canteen, electrity, ramp for the disabled and the columns of the court are corroded by saltpeter.",school canteen electrity ramp disable columns court corrode saltpeter,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
501,Mayagüez,JOSE C ROSARIO	15446,"JOSE C. ROSARIO DE ISABELA ELEMENTARY SCHOOL HAS LEAKS ON THE SECOND FLOOR OF THE NEW BUILDING. IN ADDITION WE HAVE LEAKS IN SEVERAL OFFICES AND ACADEMIC HALLS.  THERE IS CURRENT OVERLOAD IN SPECIAL EDUCATION AND THERAPY ROOMS WHICH CAUSES LIGHT DROPS DAMAGING SEVERAL EXISTING EQUIPMENT. THE COURT HAS NO ROOF SINCE HURRICANE MARIA.  
",jose c rosario de isabela elementary school leak second floor new build addition leak several office academic hall current overload special education therapy room cause light drop damage several exist equipment court roof since hurricane maria,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0
